Rank,Release,Gross,Theaters,Total_Gross,Release Date,Distributor
63,Playing with Fire,"$44,151,387 ","3,185","$44,451,847 ",8-Nov,Paramount Pictures
64,Harriet,"$42,547,700 ","2,186","$43,082,155 ",1-Nov,Focus Features
65,A Dog's Way Home,"$42,004,346 ","3,090","$42,004,346 ",11-Jan,Sony Pictures Releasing
66,The Angry Birds Movie 2,"$41,667,116 ","3,869","$41,667,116 ",13-Aug,Sony Pictures Releasing
67,Little,"$40,860,481 ","2,667","$40,860,481 ",12-Apr,Universal Pictures
68,Queen & Slim,"$40,718,945 ","1,715","$43,808,310 ",27-Nov,Universal Pictures
69,Breakthrough,"$40,713,082 ","2,913","$40,713,082 ",17-Apr,Twentieth Century Fox
70,The Mule,"$39,084,073 ","3,329","$103,804,407 ",14-Dec,Warner Bros.
71,Crawl,"$39,014,193 ","3,170","$39,014,193 ",12-Jul,Paramount Pictures
72,Little Women,"$37,593,127 ","3,308","$107,989,746 ",25-Dec,Sony Pictures Releasing
73,The Intruder,"$35,419,122 ","2,231","$35,419,122 ",3-May,Screen Gems
74,The Hustle,"$35,417,038 ","3,077","$35,417,038 ",10-May,United Artists Releasing
75,Last Christmas,"$35,116,450 ","3,454","$35,150,750 ",8-Nov,Universal Pictures
76,Overcomer,"$34,746,945 ","2,293","$34,746,945 ",23-Aug,Affirm Films
77,Cold Pursuit,"$32,138,862 ","2,630","$32,138,862 ",8-Feb,Lionsgate
78,Doctor Sleep,"$31,543,097 ","3,855","$31,581,712 ",8-Nov,Warner Bros.
79,Dragon Ball Super: Broly,"$30,712,119 ","1,267","$30,712,119 ",16-Jan,FUNimation Entertainment
80,Long Shot,"$30,316,271 ","3,230","$30,316,271 ",3-May,Lionsgate
81,Spies in Disguise,"$29,323,688 ","3,502","$66,657,005 ",25-Dec,Twentieth Century Fox
82,Child's Play,"$29,208,403 ","3,007","$29,208,403 ",21-Jun,United Artists Releasing
83,Ready or Not,"$28,714,231 ","2,998","$28,714,231 ",21-Aug,Fox Searchlight Pictures
84,Happy Death Day 2U,"$28,148,130 ","3,212","$28,148,130 ",13-Feb,Universal Pictures
85,Vice,"$28,060,115 ","2,534","$47,836,282 ",25-Dec,Annapurna Pictures
86,21 Bridges,"$27,747,269 ","2,665","$28,539,757 ",22-Nov,STX Entertainment
87,Midsommar,"$27,426,361 ","2,707","$27,426,361 ",3-Jul,A24
88,Bohemian Rhapsody,"$26,614,909 ","4,000","$216,428,042 ",2-Nov,Twentieth Century Fox
89,The Art of Racing in the Rain,"$26,395,642 ","2,765","$26,395,642 ",9-Aug,Twentieth Century Fox
90,Countdown,"$25,594,369 ","2,675","$25,621,766 ",25-Oct,STX Entertainment
91,Uncut Gems,"$25,253,119 ","2,686","$50,018,557 ",13-Dec,A24
92,Judy,"$24,017,545 ","1,627","$24,313,888 ",27-Sep,Roadside Attractions
93,Ralph Breaks the Internet,"$23,474,857 ","4,017","$201,091,711 ",21-Nov,Walt Disney Studios Motion Pictures
94,Fighting with My Family,"$22,958,886 ","2,855","$22,958,886 ",14-Feb,Metro-Goldwyn-Mayer (MGM)
95,On the Basis of Sex,"$22,946,065 ","1,957","$24,622,687 ",25-Dec,Focus Features
96,A Dog's Journey,"$22,782,371 ","3,279","$22,782,371 ",17-May,Universal Pictures
97,Booksmart,"$22,680,962 ","2,518","$22,680,962 ",24-May,United Artists Releasing
98,Parasite,"$22,633,689 ","2,001","$52,784,907 ",11-Oct,Neon
99,Stuber,"$22,370,452 ","3,050","$22,370,452 ",12-Jul,Twentieth Century Fox
100,47 Meters Down: Uncaged,"$22,260,900 ","2,883","$22,260,900 ",16-Aug,Entertainment Studios Motion Pictures
101,Black and Blue,"$22,047,506 ","2,062","$22,055,313 ",25-Oct,Screen Gems
102,Hellboy,"$21,903,748 ","3,303","$21,903,748 ",12-Apr,Lionsgate
103,Shaft,"$21,360,215 ","2,952","$21,360,215 ",14-Jun,Warner Bros.
104,Jojo Rabbit,"$21,059,726 ","1,173","$33,319,861 ",18-Oct,Fox Searchlight Pictures
105,The Peanut Butter Falcon,"$20,457,151 ","1,490","$20,457,151 ",9-Aug,Roadside Attractions
106,UglyDolls,"$20,150,241 ","3,652","$20,150,241 ",3-May,STX Entertainment
107,Cats,"$19,970,095 ","3,380","$27,166,770 ",20-Dec,Universal Pictures
108,Unplanned,"$19,006,109 ","1,516","$19,005,109 ",29-Mar,Pure Flix Entertainment
109,The Favourite,"$18,478,318 ","1,554","$34,366,783 ",23-Nov,Fox Searchlight Pictures
110,Bombshell,"$18,117,885 ","1,721","$31,762,808 ",13-Dec,Lionsgate
111,Richard Jewell,"$17,822,217 ","2,502","$22,345,542 ",13-Dec,Warner Bros.
112,Charlie's Angels,"$17,756,400 ","3,452","$17,803,077 ",15-Nov,Sony Pictures Releasing
113,The Farewell,"$17,695,781 ",891,"$17,695,781 ",12-Jul,A24
114,Brightburn,"$17,300,439 ","2,607","$17,300,439 ",24-May,Screen Gems
115,The Good Liar,"$16,973,279 ","2,454","$17,156,058 ",15-Nov,Warner Bros.
116,The Kid Who Would Be King,"$16,790,790 ","3,528","$16,790,790 ",25-Jan,Twentieth Century Fox
117,Missing Link,"$16,649,539 ","3,437","$16,649,539 ",12-Apr,United Artists Releasing
118,Second Act,"$15,737,285 ","2,607","$39,282,227 ",21-Dec,STX Entertainment
119,Late Night,"$15,499,454 ","2,220","$15,499,454 ",7-Jun,Amazon Studios
120,Miss Bala,"$15,006,824 ","2,203","$15,006,824 ",1-Feb,Sony Pictures Releasing
121,The Prodigy,"$14,856,291 ","2,530","$14,856,291 ",8-Feb,Orion Pictures
122,A Star Is Born,"$14,130,981 ","3,904","$215,288,866 ",5-Oct,Warner Bros.
123,Poms,"$13,631,124 ","2,750","$13,631,124 ",10-May,STX Entertainment
124,If Beale Street Could Talk,"$12,786,569 ","1,018","$14,915,773 ",14-Dec,Annapurna Pictures
125,They Shall Not Grow Old,"$12,253,074 ","1,335","$17,956,913 ",17-Dec,Warner Bros.
