Rank,Release,Gross,Theaters,Total_Gross,Release Date,Distributor
288,The Captain,"$687,295 ",47,"$706,572 ",18-Oct,Well Go USA Entertainment
289,Raise Hell: The Life & Times of Molly Ivins,"$684,824 ",42,"$694,410 ",30-Aug,Magnolia Pictures
290,Spirits in the Forest,"$678,949 ",388,"$704,744 ",21-Nov,Trafalgar Releasing
291,The Sky Is Pink,"$652,592 ",194,"$652,592 ",11-Oct,-
292,Racetime,"$646,415 ",86,"$1,875,283 ",7-Dec,Entertainment One
293,Dirty Dancing,"$622,968 ",650,"$622,968 ",10-Feb,Fathom Events
,2019 Re-release,,,,,
294,Miles Davis: Birth of the Cool,"$612,246 ",31,"$614,201 ",23-Aug,Abramorama
295,Roger Waters - Us + Them,"$611,644 ",497,"$611,644 ",2-Oct,Trafalgar Releasing
296,The Muppet Movie,"$610,475 ",727,"$610,475 ",25-Jul,Fathom Events
,2019 Re-release,,,,,
297,The White Storm 2: Drug Lords,"$609,461 ",54,"$609,461 ",12-Jul,CMC Pictures
298,The Least of These: The Graham Staines Story,"$607,015 ",625,"$607,015 ",31-Jan,Fathom Events
299,The Chaperone,"$600,654 ",128,"$600,654 ",28-Mar,PBS Distribution
300,Furie,"$594,788 ",27,"$594,788 ",1-Mar,Well Go USA Entertainment
301,To Kill a Mockingbird,"$592,237 ",668,"$592,237 ",24-Mar,Fathom Events
,2019 Re-release,,,,,
302,Bethany Hamilton: Unstoppable,"$590,671 ",205,"$590,671 ",12-Jul,Entertainment Studios Motion Pictures
303,The Public,"$573,503 ",263,"$573,503 ",5-Apr,Greenwich Entertainment
304,My Fair Lady,"$560,711 ",652,"$560,711 ",17-Feb,Fathom Events
,2019 Re-release,,,,,
305,Fiddler: A Miracle of Miracles,"$549,386 ",77,"$549,386 ",23-Aug,Roadside Attractions
306,Everybody's Everything,"$547,207 ",121,"$547,207 ",12-Nov,Gunpowder & Sky
307,"DCI 2019: Big, Loud & Live 16","$546,060 ",513,"$546,060 ",8-Aug,Fathom Events
308,La femme de mon frère,"$539,524 ",30,"$539,524 ",7-Jun,Entertainment One
309,Grateful Dead Meet-Up 2019,"$537,153 ",503,"$537,153 ",1-Aug,Trafalgar Releasing
310,Code Geass: Lelouch of the Re;Surrection,"$522,805 ",490,"$522,805 ",5-May,FUNimation Entertainment
,2019 Re-release,,,,,
311,Shadow,"$521,396 ",53,"$521,396 ",3-May,Well Go USA Entertainment
312,Long Day's Journey Into Night,"$521,365 ",24,"$521,365 ",12-Apr,Kino Lorber
313,The Spy Behind Home Plate,"$519,525 ",31,"$519,525 ",24-May,Ciesla Foundation
314,Wild Nights with Emily,"$519,487 ",78,"$519,487 ",12-Apr,Greenwich Entertainment
315,Saving Private Ryan,"$508,694 ",642,"$508,694 ",2-Jun,Fathom Events
,2019 Re-release,,,,,
316,Birds of Passage,"$507,259 ",97,"$507,259 ",13-Feb,The Orchard
317,Tel Aviv on Fire,"$504,265 ",37,"$506,145 ",2-Aug,Cohen Media Group
318,Widows,"$498,459 ","2,803","$42,402,632 ",16-Nov,Twentieth Century Fox
319,Whisper of the Heart,"$498,156 ",745,"$498,156 ",1-Jul,Fathom Events
,2019 Re-release,,,,,
320,Nausicaä of the Valley of the Wind,"$495,770 ",751,"$495,770 ",20-May,Fathom Events
,2019 Re-release,,,,,
321,Crazy Rich Asians,"$493,850 ","3,865","$174,532,921 ",15-Aug,Warner Bros.
322,Batla House,"$493,180 ",81,"$493,180 ",15-Aug,-
323,The Climbers,"$487,157 ",102,"$487,157 ",30-Sep,Well Go USA Entertainment
324,The Russian Five,"$485,049 ",44,"$485,049 ",21-Mar,-
325,The Great Alaskan Race,"$484,068 ",447,"$485,603 ",25-Oct,-
326,Exit,"$483,152 ",19,"$470,699 ",2-Aug,CJ Entertainment
327,Lawrence of Arabia,"$482,281 ",661,"$482,281 ",1-Sep,Fathom Events
,2019 Re-release,,,,,
328,CatVideoFest,"$470,923 ",103,"$470,923 ",15-Feb,Oscilloscope
329,Panipat,"$461,863 ",175,"$461,863 ",6-Dec,Reliance Entertainment
330,Christmas Jars,"$459,462 ",789,"$459,462 ",4-Nov,Fathom Events
331,Gorillaz: Reject False Icons,"$453,687 ",284,"$453,687 ",16-Dec,Trafalgar Releasing
332,Cruel Intentions,"$445,218 ",708,"$445,218 ",22-Mar,Sony Pictures Releasing
,2019 Re-release,,,,,
333,Teen Spirit,"$441,366 ",696,"$441,366 ",12-Apr,Bleecker Street Media
334,At Eternity's Gate,"$441,270 ",178,"$2,294,915 ",16-Nov,CBS Films
335,Merci pour tout,"$437,044 ",76,"$1,073,969 ",25-Dec,-
336,Les Misérables: The Staged Concert,"$436,047 ",488,"$459,478 ",6-Dec,Trafalgar Releasing
337,De De Pyaar De,"$425,934 ",104,"$425,934 ",17-May,Yash Raj Films
338,Hail Satan?,"$424,284 ",67,"$424,284 ",17-Apr,Magnolia Pictures
339,Ben-Hur,"$422,622 ",649,"$422,622 ",14-Apr,Fathom Events
,2019 Re-release,,,,,
340,Killing Sarai,"$422,331 ",160,"$425,332 ",6-Dec,Pantelion Films
341,Fate/stay night [Heaven's Feel] II. lost butterfly,"$420,595 ",515,"$420,595 ",14-Mar,Fathom Events
342,Ash Is Purest White,"$420,589 ",49,"$422,814 ",15-Mar,Cohen Media Group
343,The Cold Blue,"$420,177 ",702,"$420,177 ",23-May,Fathom Events
344,The Reliant,"$408,747 ",722,"$408,747 ",24-Oct,Fathom Events
345,The Invisibles,"$407,373 ",19,"$407,373 ",25-Jan,Greenwich Entertainment
346,Monos,"$406,473 ",50,"$406,473 ",13-Sep,Neon
347,Meet Me in St. Louis,"$403,521 ",679,"$403,521 ",8-Dec,Fathom Events
,75th Anniversary,,,,,
348,"Hello, Dolly!","$400,881 ",669,"$400,881 ",11-Aug,Fathom Events
349,The Nightingale,"$400,209 ",79,"$400,209 ",2-Aug,IFC Films
350,Mia and the White Lion,"$399,471 ",312,"$399,471 ",12-Apr,-
351,The Man Who Killed Don Quixote,"$391,963 ",756,"$391,963 ",10-Apr,Screen Media Films
352,The Wedding Guest,"$386,166 ",96,"$386,166 ",1-Mar,IFC Films
353,The Secret World of Arrietty,"$384,289 ",750,"$384,289 ",29-Sep,Fathom Events
,2019 Re-release,,,,,
354,What We Left Behind: Star Trek DS9,"$382,457 ",795,"$382,457 ",13-May,Fathom Events
355,The Cure: Anniversary 1978-2018 Live in Hyde Park,"$378,405 ",346,"$378,405 ",11-Jul,Trafalgar Releasing
356,The Hummingbird Project,"$371,784 ",232,"$371,784 ",15-Mar,The Orchard
357,Ghostbusters,"$369,612 ",546,"$369,612 ",6-Oct,Fathom Events
,2019 Re-release,,,,,
358,Matthias & Maxime,"$369,363 ",53,"$374,739 ",9-Oct,Entertainment One
359,The Shawshank Redemption,"$358,507 ",669,"$358,507 ",22-Sep,Fathom Events
,2019 Re-release,,,,,
360,The Tomorrow Man,"$354,103 ",207,"$354,103 ",22-May,Bleecker Street Media
361,Star Trek: The Motion Picture,"$346,243 ",627,"$346,243 ",15-Sep,Fathom Events
,2019 Re-release,,,,,
362,Photograph,"$344,534 ",123,"$344,534 ",17-May,Amazon Studios
363,Diane,"$336,166 ",64,"$336,166 ",29-Mar,IFC Films
364,Millennium Actress,"$335,609 ",512,"$225,250 ",13-Aug,Fathom Events
,2019 Re-release,,,,,
365,A Silent Voice: The Movie,"$333,984 ",581,"$333,984 ",28-Jan,Fathom Events
,2019 Re-release,,,,,
366,The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,"$328,979 ",288,"$328,979 ",16-Mar,Fathom Events
367,P Storm,"$326,711 ",30,"$326,711 ",4-Apr,CMC Pictures
368,National Theatre Live: Fleabag,"$326,283 ",399,"$326,283 ",18-Nov,Fathom Events
369,Sword of Trust,"$322,421 ",78,"$322,421 ",12-Jul,IFC Films
370,Lucy in the Sky,"$319,976 ",231,"$319,976 ",4-Oct,Fox Searchlight Pictures
371,You Are Here: A Come From Away Story,"$318,885 ",781,"$318,885 ",11-Sep,Fathom Events
372,Josh Groban Bridges from Madison Square Garden,"$315,173 ",390,"$315,173 ",8-Feb,Trafalgar Releasing
373,Bolshoi Ballet: The Sleeping Beauty,"$311,368 ",355,"$311,368 ",10-Mar,Fathom Events
374,DanTDM Presents The Contest,"$307,484 ",684,"$307,484 ",2-Nov,Fathom Events
375,K-12,"$303,230 ",81,"$303,230 ",5-Sep,Abramorama
376,Aquarela,"$302,864 ",69,"$307,346 ",16-Aug,Sony Pictures Classics
377,Ask Dr. Ruth,"$297,195 ",110,"$297,195 ",3-May,Magnolia Pictures
378,Line Walker 2: Invisible Spy,"$296,751 ",17,"$296,751 ",16-Aug,Well Go USA Entertainment
379,Junglee,"$295,784 ",70,"$295,784 ",29-Mar,-
380,The Giant Spider Invasion,"$293,053 ",685,"$293,053 ",15-Aug,Fathom Events
381,Stockholm,"$292,590 ",122,"$292,590 ",12-Apr,-
382,The Godfather: Part II,"$291,754 ",681,"$291,754 ",10-Nov,Fathom Events
,45th Anniversary,,,,,
383,Killerman,"$291,477 ",322,"$291,477 ",30-Aug,Blue Fox Entertainment
384,The Bravest,"$290,217 ",150,"$290,217 ",9-Aug,Sony Pictures Releasing
385,Saga of Tanya the Evil - The Movie,"$288,460 ",518,"$288,460 ",16-May,Fathom Events
386,Khalid: Free Spirit,"$284,229 ",382,"$284,229 ",3-Apr,Trafalgar Releasing
387,Mike Wallace Is Here,"$281,245 ",39,"$281,245 ",26-Jul,Magnolia Pictures
388,The Whistleblower,"$280,851 ",133,"$280,851 ",6-Dec,CMC Pictures Holdings
389,Octaman,"$280,710 ",668,"$280,710 ",18-Apr,Fathom Events
390,The Nutcracker and the Four Realms,"$277,082 ","3,766","$54,858,851 ",2-Nov,Walt Disney Studios Motion Pictures
391,I Want to Eat Your Pancreas,"$277,019 ",427,"$277,019 ",7-Feb,Fathom Events
392,Freaks,"$276,591 ",111,"$276,591 ",13-Sep,Well Go USA Entertainment
393,True Grit,"$276,418 ",614,"$276,418 ",5-May,Fathom Events
,2019 Re-release,,,,,
394,The Tale of The Princess Kaguya,"$271,681 ",737,"$271,681 ",16-Dec,Fathom Events
,2019 Re-release,,,,,
395,Shakira in Concert: El Dorado World Tour,"$271,586 ",500,"$271,586 ",13-Nov,Trafalgar Releasing
396,Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,"$271,489 ",614,"$271,489 ",23-Jul,Fathom Events
397,One Child Nation,"$270,128 ",36,"$270,128 ",9-Aug,Amazon Studios
398,Just Mercy,"$267,881 ","2,457","$35,927,487 ",25-Dec,Warner Bros.
399,Slayer: The Repentless Killogy,"$266,895 ",494,"$268,727 ",6-Nov,Trafalgar Releasing
400,Luzia: Cirque du Soleil in Cinema,"$265,673 ",784,"$265,673 ",29-Oct,Fathom Events
401,Out of Liberty,"$265,279 ",36,"$265,279 ",13-Sep,Purdie Distribution
402,Modest Heroes,"$264,579 ",370,"$178,027 ",10-Jan,Fathom Events
403,Smallfoot,"$263,482 ","4,131","$83,240,103 ",28-Sep,Warner Bros.
404,Star Raiders: The Adventures of Saber Raine,"$260,234 ",665,"$260,234 ",6-Jun,Fathom Events
405,Mobile Suit Gundam Narrative,"$259,224 ",449,"$259,224 ",19-Feb,Fathom Events
406,Her Smell,"$255,599 ",69,"$255,599 ",12-Apr,Gunpowder & Sky
407,Lords of Chaos,"$253,184 ",75,"$253,184 ",8-Feb,Gunpowder & Sky
408,Bolshoi Ballet: The Nutcracker,"$252,935 ",401,"$252,935 ",15-Dec,Fathom Events
409,When Harry Met Sally...,"$252,320 ",660,"$252,320 ",1-Dec,Fathom Events
,30th Anniversary,,,,,
410,I Got the Hook Up 2,"$252,293 ",40,"$252,293 ",12-Jul,-
411,Canal Street,"$251,917 ",73,"$251,917 ",18-Jan,-
412,Meeting Gorbachev,"$251,837 ",42,"$251,837 ",3-May,1091 Media
413,The Twilight Zone: A 60th Anniversary Celebration,"$248,514 ",677,"$248,514 ",14-Nov,Fathom Events
414,Doctor Who: The End of Time: Part One,"$247,798 ",745,"$247,798 ",7-Aug,Fathom Events
415,Friendsgiving Day #1,"$246,168 ",766,"$246,168 ",24-Nov,Fathom Events
416,63 Up,"$240,715 ",28,"$480,969 ",27-Nov,BritBox
417,311 Enlarged to Show Detail 3,"$238,791 ",239,"$238,791 ",11-Mar,Trafalgar Releasing
418,Give Me Liberty,"$238,130 ",18,"$242,734 ",23-Aug,Music Box Films
419,American Woman,"$236,637 ",117,"$236,637 ",14-Jun,Roadside Attractions
420,Romeo Akbar Walter,"$236,299 ",101,"$236,299 ",5-Apr,Eros International
421,Premier Boxing Champions: PBC on FOX: Spence vs. Porter,"$232,973 ",239,"$232,973 ",28-Sep,Fathom Events
422,DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,"$230,703 ",426,"$230,703 ",4-May,Fathom Events
423,Under the Sea 3D,"$229,299 ",108,"$36,262,926 ",13-Feb,Warner Bros.
424,Mine 9,"$226,421 ",29,"$226,421 ",12-Apr,-
425,Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,"$223,858 ",194,"$223,858 ",20-Jul,Fathom Events
426,Never Surrender: A Galaxy Quest Documentary,"$222,971 ",556,"$222,971 ",26-Nov,Fathom Events
427,First Love,"$218,329 ",40,"$218,329 ",27-Sep,Well Go USA Entertainment
428,"The Gangster, the Cop, the Devil","$216,494 ",21,"$216,494 ",7-Jun,Well Go USA Entertainment
429,The Karate Kid,"$215,447 ",588,"$215,447 ",31-Mar,Fathom Events
,2019 Re-release,,,,,
430,The Possession of Hannah Grace,"$215,212 ","2,298","$14,837,422 ",30-Nov,Screen Gems
431,Hamlet,"$214,578 ",572,"$214,578 ",8-Jul,Fathom Events
,2019 Re-release,,,,,
432,"Faith, Hope & Love","$210,091 ",18,"$210,091 ",15-Mar,ArtAffects Entertainment
433,Master Z: The Ip Man Legacy,"$209,454 ",61,"$209,454 ",12-Apr,Well Go USA Entertainment
434,Kathy Griffin: A Hell of a Story,"$208,907 ",648,"$208,907 ",31-Jul,Fathom Events
435,Play the Flute,"$207,663 ",11,"$239,411 ",28-Jan,Five & Two Pictures
436,Bolshoi Ballet: Carmen Suite/Petrushka,"$207,523 ",362,"$207,523 ",19-May,Fathom Events
437,The Iron Orchard,"$204,881 ",42,"$204,881 ",22-Feb,-
438,Hesburgh,"$204,709 ",36,"$204,709 ",26-Apr,Music Box Films
439,Venom,"$203,111 ","4,250","$213,515,506 ",5-Oct,Sony Pictures Releasing
440,Forrest Gump,"$203,088 ",560,"$203,088 ",23-Jun,Fathom Events
,2019 Re-release,,,,,
441,Dabangg 3,"$202,000 ",294,"$202,000 ",20-Dec,Yash Raj Films
442,Blink of an Eye,"$201,874 ",517,"$201,874 ",12-Sep,Fathom Events
443,Friendsgiving Day #2,"$198,869 ",766,"$198,869 ",25-Nov,Fathom Events
444,Chasing the Dragon II: Wild Wild Bunch,"$196,634 ",16,"$196,634 ",7-Jun,Well Go USA Entertainment
445,Family,"$194,601 ",107,"$194,601 ",19-Apr,The Film Arcade
446,A Beautiful Planet,"$190,603 ",155,"$15,650,615 ",29-Apr,IMAX
447,Heading Home: The Tale of Team Israel,"$190,583 ",7,"$207,533 ",14-Dec,Menemsha Films
448,Bolshoi Ballet: Le Corsaire,"$190,192 ",383,"$190,192 ",17-Nov,Fathom Events
449,The Divine Plan,"$190,031 ",-,"$190,031 ",6-Nov,Fathom Events
450,Pagalpanti,"$189,666 ",116,"$423,340 ",22-Nov,Eros International
451,Mr. Klein,"$188,287 ",6,"$192,076 ",6-Sep,Rialto Pictures
,Re-release,,,,,
452,42nd Street: The Musical,"$187,440 ",515,"$187,440 ",1-May,Fathom Events
453,The River and the Wall,"$185,504 ",57,"$183,602 ",3-May,Gravitas Ventures
454,To Dust,"$184,495 ",23,"$184,495 ",8-Feb,Good Deed Entertainment
455,Giant Little Ones,"$181,507 ",32,"$181,507 ",1-Mar,Vertical Entertainment
456,Raymonda: Bolshoi Ballet,"$181,361 ",383,"$181,361 ",27-Oct,Fathom Events
457,Bolshoi Ballet: Raymonda,"$181,361 ",383,"$181,361 ",27-Oct,Fathom Events
,domestic,,,,,
458,Robin Hood,"$179,615 ","2,827","$30,824,628 ",21-Nov,Lionsgate
459,The Warrior Queen of Jhansi,"$177,289 ",277,"$177,289 ",15-Nov,Roadside Attractions
460,India's Most Wanted,"$176,858 ",110,"$176,858 ",24-May,FIP
461,"Iyengar: The Man, Yoga, and the Student's Journey","$176,387 ",11,"$176,387 ",12-Apr,Kino Lorber
462,Tigers Are Not Afraid,"$175,559 ",19,"$175,559 ",21-Aug,Variance Films
,2019 Re-release,,,,,
463,Marjaavaan,"$174,164 ",65,"$174,164 ",15-Nov,Eros International
464,Ashfall,"$172,987 ",18,"$372,562 ",19-Dec,Capelight Pictures
465,Bolshoi Ballet: The Golden Age,"$171,916 ",360,"$171,916 ",7-Apr,Fathom Events
466,Nureyev: Lifting the Curtain,"$170,038 ",18,"$165,203 ",19-Apr,-
467,Frankie,"$169,866 ",117,"$171,781 ",25-Oct,Sony Pictures Classics
468,Indian Horse,"$168,876 ",9,"$2,097,362 ",13-Apr,Elevation Pictures
469,Asbury Park: Riot Redemption Rock 'n Roll,"$167,684 ",270,"$167,684 ",22-May,Trafalgar Releasing
470,Bad Guys: The Movie,"$166,972 ",11,"$166,972 ",20-Sep,CJ Entertainment
471,Bright Ones,"$165,627 ",614,"$165,627 ",22-Apr,Fathom Events
472,Sunset,"$164,906 ",37,"$164,906 ",22-Mar,Sony Pictures Classics
473,INXS: Baby Live at Wembly Stadium,"$161,750 ",516,"$161,750 ",9-Dec,Fathom Events
474,Monty Python's Life of Brian,"$161,507 ",125,"$161,507 ",18-Apr,Trafalgar Releasing
,2019 Re-release,,,,,
475,"Diana Ross: Her Life, Love and Legacy","$160,968 ",623,"$160,968 ",26-Mar,Fathom Events
476,Batman,"$159,419 ",489,"$159,419 ",4-May,Fathom Events
,2019 Re-release,,,,,
477,Them That Follow,"$159,218 ",195,"$159,218 ",2-Aug,1091 Media
478,Synonyms,"$158,181 ",13,"$205,635 ",25-Oct,Kino Lorber
479,The World Before Your Feet,"$156,821 ",11,"$268,644 ",21-Nov,Greenwich Entertainment
480,Money,"$155,732 ",11,"$155,732 ",21-Mar,CJ Entertainment
481,The Death and Life of John F. Donovan,"$152,713 ",25,"$152,713 ",23-Aug,Entertainment One
482,Halston,"$151,991 ",30,"$151,991 ",24-May,The Orchard
483,Peterloo,"$151,971 ",92,"$151,971 ",5-Apr,Amazon Studios
484,Before You Know It,"$151,507 ",31,"$151,507 ",30-Aug,1091 Media
485,Jay Myself,"$151,331 ",17,"$151,331 ",31-Jul,Oscilloscope
486,Glory,"$150,801 ",435,"$150,801 ",21-Jul,Fathom Events
,2019 Re-release,,,,,
487,The Samuel Project,"$150,478 ",2,"$161,565 ",28-Sep,-
488,Little Woods,"$150,010 ",33,"$150,010 ",19-Apr,Neon
489,Trial by Fire,"$148,504 ",109,"$148,504 ",17-May,Roadside Attractions
490,War and Peace,"$148,503 ",3,"$148,503 ",15-Feb,Janus Films
491,Dogman,"$148,225 ",12,"$148,225 ",12-Apr,Magnolia Pictures
492,Framing John DeLorean,"$145,625 ",28,"$145,625 ",7-Jun,IFC Films
493,Hampstead,"$144,396 ",18,"$144,396 ",14-Jun,IFC Films
494,Doctor Who: Logopolis,"$143,248 ",428,"$143,248 ",13-Mar,Fathom Events
495,Hubble 3D,"$142,163 ",151,"$52,522,904 ",19-Mar,Warner Bros.
496,Canelo vs. Kovalev,"$140,820 ",471,"$140,820 ",2-Nov,Fathom Events
497,The Last Resort,"$140,330 ",13,"$158,646 ",21-Dec,Kino Lorber
498,Wilder vs. Ortiz,"$139,207 ",186,"$139,207 ",23-Nov,Fathom Events
499,Who Will Write Our History,"$138,039 ",6,"$138,039 ",18-Jan,Abramorama
500,Rafiki,"$137,968 ",26,"$137,968 ",19-Apr,Film Movement
501,Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,"$137,888 ",-,"$137,888 ",7-Nov,Fathom Events
502,The Other Story,"$135,191 ",11,"$135,191 ",28-Jun,Strand Releasing
503,Okko's Inn,"$134,787 ",465,"$134,787 ",22-Apr,GKIDS
504,Palau the Movie,"$134,696 ",135,"$134,696 ",29-Mar,Trafalgar Releasing
505,Burning,"$134,130 ",27,"$718,991 ",26-Oct,Well Go USA Entertainment
506,Made in Abyss: Journey's Dawn,"$134,047 ",573,"$134,047 ",20-Mar,Fathom Events
507,Peppa Celebrates Chinese New Year,"$131,225 ",67,"$131,225 ",6-Feb,STX Entertainment
508,Mister America,"$130,897 ",125,"$130,897 ",9-Oct,Magnolia Pictures
509,The Zoya Factor,"$128,831 ",100,"$128,831 ",20-Sep,FIP
510,Woodstock,"$126,562 ",781,"$126,562 ",15-Aug,Fathom Events
511,Paris Is Burning,"$125,677 ",6,"$125,677 ",14-Jun,Janus Films
,2019 Re-release,,,,,
512,Lost & Found,"$125,173 ",6,"$125,173 ",29-Mar,-
513,Mary Magdalene,"$124,741 ",62,"$124,741 ",12-Apr,IFC Films
,2019 Re-release,,,,,
514,Easy Rider,"$123,276 ",252,"$123,276 ",14-Jul,Fathom Events
,2019 Re-release,,,,,
515,Born to Be Wild,"$121,961 ",208,"$25,978,556 ",8-Apr,Warner Bros.
516,A Tuba to Cuba,"$121,772 ",16,"$121,772 ",15-Feb,Blue Fox Entertainment
517,Avant qu'on explose,"$119,894 ",35,"$119,894 ",1-Mar,Entertainment One
518,Portrait of a Lady on Fire,"$118,603 ",334,"$3,346,388 ",6-Dec,Neon
519,The Fall of the American Empire,"$118,515 ",73,"$2,178,460 ",29-Jun,Entertainment One
520,"Ruben Brandt, Collector","$117,963 ",43,"$117,963 ",15-Feb,Sony Pictures Classics
,2018 Re-release,,,,,
521,The Reports on Sarah and Saleem,"$117,479 ",11,"$117,479 ",12-Jun,Dada Films
522,Mob Psycho 100,"$115,766 ",375,"$115,766 ",5-Jan,Fathom Events
523,Police Story,"$113,164 ",7,"$113,164 ",1-Feb,Janus Films
524,Be Natural: The Untold Story of Alice Guy-Blaché,"$111,998 ",14,"$115,265 ",19-Apr,Zeitgeist Films
525,The Kingmaker,"$109,948 ",18,"$122,587 ",8-Nov,Greenwich Entertainment
526,Babylon,"$109,749 ",9,"$109,749 ",8-Mar,Kino Lorber
527,Branagh Theatre Live: The Winter's Tale,"$108,403 ",106,"$141,143 ",4-Dec,Trafalgar Releasing
528,The Audience,"$106,529 ",529,"$106,529 ",3-Jun,Fathom Events
,2019 Re-release,,,,,
529,The Brink,"$106,057 ",124,"$106,057 ",28-Mar,Magnolia Pictures
530,"Belle and Sebastian, Friends for Life","$105,890 ",38,"$105,890 ",25-Jan,Entertainment One
,2018 Re-release,,,,,
531,Cold Case Hammarskjöld,"$104,965 ",15,"$104,965 ",16-Aug,Magnolia Pictures
532,Downtown 81,"$104,646 ",8,"$121,115 ",25-Oct,Metrograph Pictures
,2019 Re-release,,,,,
533,Miss & Mrs. Cops,"$104,578 ",9,"$104,578 ",10-May,CJ Entertainment
534,Penguin Highway,"$104,567 ",168,"$104,567 ",12-Apr,Eleven Arts
535,Anthropocene: The Human Epoch,"$104,488 ",110,"$104,806 ",25-Sep,Kino Lorber
536,The Divine Fury,"$102,982 ",23,"$102,982 ",16-Aug,Well Go USA Entertainment
537,Walking on Water,"$102,140 ",9,"$102,140 ",17-May,Kino Lorber
538,Mojin: The Worm Valley,"$101,516 ",17,"$101,516 ",4-Jan,Well Go USA Entertainment
539,Wonders of the Sea,"$100,780 ",266,"$100,780 ",17-Jan,Fathom Events
540,Mirai,"$100,766 ",780,"$812,794 ",29-Nov,GKIDS
541,Tazza: One-Eyed Jack,"$97,655 ",22,"$97,655 ",20-Sep,Well Go USA Entertainment
542,The Third Wife,"$96,228 ",8,"$84,933 ",15-May,Film Movement
543,The Song of Names,"$94,221 ",182,"$1,070,821 ",25-Dec,Sony Pictures Classics
544,The Image Book,"$94,153 ",33,"$94,153 ",25-Jan,Kino Lorber
545,Margaret Atwood: Live in Cinemas,"$93,690 ",499,"$93,690 ",10-Sep,Fathom Events
546,Rojo,"$92,396 ",7,"$94,757 ",12-Jul,Distrib Films
547,Always Miss You,"$91,884 ",14,"$91,884 ",3-May,China Lion Film Distribution
548,Mapplethorpe,"$91,002 ",19,"$91,002 ",1-Mar,The Samuel Goldwyn Company
549,The Crossing,"$90,896 ",28,"$90,896 ",15-Mar,CMC Pictures
550,Loopers: The Caddie's Long Walk,"$90,679 ",68,"$90,679 ",7-Jun,Gravitas Ventures
551,My Dear Liar,"$90,545 ",29,"$90,545 ",8-Nov,CMC Pictures Holdings
552,A Bigger Splash,"$90,414 ",11,"$95,826 ",21-Jun,Metrograph Pictures
,2019 Re-release,,,,,
553,Sound! Euphonium the Movie - Our Promise: A Brand New Day,"$90,341 ",445,"$90,341 ",11-Jul,Fathom Events
554,Varda by Agnès,"$89,993 ",10,"$158,651 ",22-Nov,Janus Films
555,Take Point,"$89,650 ",25,"$112,386 ",27-Dec,CJ Entertainment
556,Ramen Shop,"$88,455 ",10,"$88,455 ",22-Mar,Strand Releasing
557,The Lumber Baron,"$88,336 ",11,"$88,336 ",24-May,Indican Pictures
558,Jim Allison: Breakthrough,"$87,984 ",10,"$87,984 ",27-Sep,Dada Films
559,ECCO,"$86,858 ",155,"$86,858 ",9-Aug,Citadel Film Group
560,Sonchiriya,"$86,765 ",70,"$86,765 ",1-Mar,-
561,The Chambermaid,"$86,422 ",5,"$86,422 ",28-Jun,Kino Lorber
562,National Theater Live: Cyrano de Bergerac,"$86,300 ",301,"$86,300 ",23-Jan,Fathom Events
563,Mayday Life,"$85,912 ",11,"$85,912 ",31-May,China Lion Film Distribution
564,Skid Row Marathon,"$84,997 ",438,"$84,997 ",14-Oct,Fathom Events
565,Papi Chulo,"$84,703 ",16,"$84,703 ",7-Jun,Blue Fox Entertainment
566,Woodstock,"$84,440 ",11,"$84,440 ",24-May,PBS Distribution
567,Once Upon a Deadpool,"$84,300 ","1,566","$6,100,309 ",12-Dec,Twentieth Century Fox
,2018 Re-release,,,,,
568,Looking Up,"$84,267 ",13,"$84,267 ",19-Jul,China Lion Film Distribution
569,High Strung Free Dance,"$83,891 ",106,"$83,891 ",11-Oct,Atlas Distribution Company
,2019 Re-release,,,,,
570,Ms. Purple,"$80,657 ",23,"$80,657 ",6-Sep,Oscilloscope
571,The Old Man & the Gun,"$80,104 ","1,042","$11,277,120 ",28-Sep,Fox Searchlight Pictures
572,Swing Kids,"$79,527 ",21,"$222,001 ",21-Dec,Well Go USA Entertainment
573,Saint Judy,"$78,935 ",55,"$78,935 ",1-Mar,Blue Fox Entertainment
574,The Heiresses,"$78,473 ",6,"$78,473 ",16-Jan,Distrib Films
575,A Faithful Man,"$78,183 ",6,"$77,491 ",19-Jul,Kino Lorber
576,Ploey,"$77,815 ",20,"$77,815 ",26-Apr,-
577,Fast Colour,"$76,916 ",25,"$76,916 ",19-Apr,Lionsgate
578,Christ Stopped at Eboli,"$76,906 ",3,"$78,736 ",3-Apr,Rialto Pictures
579,Triple Threat,"$76,289 ",12,"$76,289 ",19-Mar,Well Go USA Entertainment
580,"Hale County This Morning, This Evening","$74,958 ",8,"$112,282 ",14-Sep,The Cinema Guild
581,Savage,"$74,491 ",19,"$74,491 ",3-May,Well Go USA Entertainment
582,5B,"$72,968 ",128,"$72,968 ",14-Jun,-
583,Working Woman,"$72,568 ",7,"$64,048 ",27-Mar,Zeitgeist Films
584,Cliffs of Freedom,"$72,476 ",10,"$72,476 ",1-Mar,Round Hill Media
585,3 Faces,"$72,324 ",7,"$72,324 ",8-Mar,Kino Lorber
